error,delta_error,delta_pwm
1.4299,4.8598,-1824
1.5399,3.3482,-1400
1.6499,2.7435,-1400
1.8699,3.1926,-1400
2.0999,4.2771,-1519
2.5399,7.3278,-3025
2.8799,7.2716,-3029
3.0899,5.5895,-2035
3.0899,2.2358,-1400
3.0899,0.8943,-1400
3.0999,0.4854,-1400
3.2099,1.5984,-1400
3.3299,2.1713,-1400
3.4399,1.9161,-1400
3.4399,0.7665,-1400
3.4399,0.3066,-1400
3.4499,0.2503,-1400
3.4499,0.1001,-1400
3.4499,0.0400,-1400
3.4499,0.0160,-1400
3.4499,0.0064,-1400
3.4499,0.0026,-1400
3.5599,1.0486,-1400
3.6699,1.8237,-1400
3.7799,2.1643,-1400
3.7799,0.8657,-1400
3.7799,0.3463,-1400
3.7799,0.1385,-1400
3.7799,0.0554,-1400
3.7799,0.0222,-1400
3.7799,0.0089,-1400
3.7799,0.0035,-1400
3.5599,-2.8071,0
3.3299,-3.3133,0
3.1099,-4.1949,145
3.1099,-1.6780,0
3.0999,-0.7988,-1093
2.8699,-3.2557,0
2.6399,-3.4928,0
2.4099,-4.3971,297
2.3099,-3.0354,0
2.2099,-2.4908,0
2.2099,-0.9963,-961
2.2099,-0.3985,-1246
2.2099,-0.1594,-1335
2.2099,-0.0638,-1373
2.3299,1.5064,-1400
2.3299,0.6026,-1400
1.9899,-2.9971,26
1.6499,-5.6336,853
1.4299,-5.0620,838
1.5399,-0.6205,-404
1.6499,1.1560,-1092
1.7599,1.5100,-1400
1.4199,-3.8308,846
1.0799,-5.8727,1003
0.7399,-6.6895,1276
0.8499,-1.2716,455
0.9599,0.5390,-667
1.0799,1.7808,-1400
1.2999,3.5208,-1400
1.5299,4.3445,-1581
1.6499,3.2697,-1400
1.5399,0.2603,-1054
1.4199,-1.4611,727
1.4199,-0.5844,-370
1.4099,-0.3614,-551
1.1899,-2.2398,994
0.8499,-5.2364,1122
0.5199,-6.3989,1212
0.3999,-4.0915,1285
0.3275,-2.5608,1301
0.2451,-2.0763,1317
0.0755,-2.4457,1376
0.0023,-1.9331,1399
-0.0701,-1.6975,1400
-0.0425,-0.3267,305
-0.1249,-1.1826,1048
-0.1845,-1.0406,904
-0.3677,-2.8058,1400
-0.3301,-0.6423,552
-0.3925,-1.0535,917
-0.1349,2.8671,-1360
0.0355,2.7697,-1400
0.6323,8.8922,-1678
1.2299,11.1858,-2035
1.8375,12.2309,-2721
2.1079,7.4676,-3001
2.1455,3.4670,-1400
2.4962,5.9609,-2240
2.8362,6.7248,-2780
3.2762,8.3069,-3046
3.3962,4.8547,-1712
3.6162,4.0371,-1413
3.7362,3.1801,-1400
3.8462,2.6763,-1400
3.8562,1.1982,-1400
3.8562,0.4793,-1400
3.9662,1.2393,-1400
4.0662,1.8001,-1430
4.1762,2.1243,-1471
4.1862,0.9774,-1508
4.1862,0.3909,-1468
4.2962,1.2040,-1569
4.4162,2.0468,-1565
4.5362,2.3506,-1596
4.5262,0.8126,-1637
4.5262,0.3250,-1581
4.5262,0.1300,-1576
4.5262,0.0520,-1576
4.5262,0.0208,-1576
4.5262,0.0083,-1576
4.5162,-0.1243,-1531
4.4062,-1.0974,-1105
4.1862,-3.3085,-133
3.8462,-5.6638,866
3.6162,-5.2017,671
3.3962,-4.8892,530
3.1762,-4.0509,40
2.9462,-4.6204,397
2.7162,-4.7843,480
2.3862,-6.1265,1053
2.0362,-6.9187,1364
1.7062,-5.9103,966
1.4762,-5.3641,813
1.1362,-6.4861,1177
0.7962,-6.9349,1374
0.5762,-5.5825,1171
0.3462,-4.4235,1296
0.1162,-4.7694,1361
-0.1138,-4.8439,1457
-0.2138,-3.2142,1400
-0.2138,-1.2857,1157
-0.2138,-0.5143,453
-0.2138,-0.2057,202
-0.2138,-0.0823,185
-0.2138,-0.0329,185
-0.3238,-1.4174,1304
-0.3238,-0.5670,494
-0.3238,-0.2268,267
-0.2138,1.3135,-904
0.0062,3.3339,-1400
0.2362,4.2697,-1496
0.5862,5.0412,-1685
0.9162,6.3208,-1861
1.0262,3.9326,-1400
1.2462,4.3815,-1601
1.2562,1.8803,-1400
1.4762,2.8473,-1400
1.4762,1.1389,-1003
1.5862,1.8598,-1400
1.6962,2.1482,-1400
1.8062,2.2635,-1400
1.8062,0.9054,-1236
1.8062,0.3622,-1250
1.8062,0.1449,-1250
1.3562,-5.6867,908
0.9162,-7.8917,1400
0.5762,-6.3948,1194
0.6862,-1.1231,323
0.7962,0.9550,-819
0.9062,1.7863,-1400
1.0162,2.1188,-1400
1.1362,1.9904,-1400
1.1362,0.7961,-777
1.1362,0.3185,-777
1.1362,0.1274,-777
1.1362,0.0510,-777
1.1362,0.0204,-777
1.2562,1.5734,-1400
1.3662,2.0336,-1400
1.4762,2.2177,-1400
1.4762,0.8871,-1009
1.2562,-1.7404,957
1.0262,-3.6962,1071
0.7962,-4.4146,1160
0.7962,-1.7659,1137
0.5662,-3.6425,1235
0.3362,-3.6475,1303
0.1062,-4.4590,1366
0.1062,-1.7836,1359
0.1062,-0.7134,500
0.1162,-0.1577,53
0.1162,-0.0631,-38
0.4662,4.5400,-1593
0.7962,6.0288,-1843
1.1362,6.7519,-1965
1.0262,1.2965,-1169
0.9162,-0.5290,-162
0.7962,-1.7768,1138
0.7962,-0.7107,8
0.7962,-0.2843,-285
1.0262,2.8225,-1400
1.2562,3.3195,-1400
1.2562,1.3278,-1201
1.2562,0.5311,-856
1.2562,0.2124,-856
1.4762,2.8935,-1400
1.5962,2.3003,-1400
1.7062,2.3549,-1400
1.9362,3.8781,-1400
2.0562,3.0832,-1400
2.2762,4.0418,-1418
2.2762,1.6167,-1400
2.2762,0.6467,-1400
2.3862,1.6629,-1400
2.6062,3.4737,-1400
2.8262,4.1980,-1474
2.8262,1.6792,-1400
2.8262,0.6717,-1400
2.8362,0.3963,-1400
2.8262,0.0309,-1400
2.8262,0.0123,-1400
2.8262,0.0049,-1400
2.8362,0.1324,-1400
2.8262,-0.0747,-1373
2.7162,-1.4341,-226
2.5962,-2.1056,0
2.4962,-1.7946,0
2.4962,-0.7178,-1135
2.4962,-0.2871,-1293
2.3762,-1.6468,0
2.1562,-3.4672,0
1.8162,-4.6250,480
1.7062,-3.2848,551
1.4762,-4.2501,800
1.2562,-4.5085,957
1.0262,-4.7396,1071
1.0262,-1.8958,1071
0.9162,-2.1931,1116
0.6962,-3.6858,1194
0.3462,-5.9424,1250
0.2262,-3.9089,1334
0.1062,-2.7064,1367
0.1062,-1.0826,813
-0.0038,-1.8373,1400
-0.1138,-2.1392,1400
-0.2138,-2.1323,1400
-0.2138,-0.8529,726
-0.2138,-0.3412,316
-0.2138,-0.1365,185
-0.2138,-0.0546,185
-0.2138,-0.0218,185
-0.2138,-0.0087,185
-0.2138,-0.0035,185
0.1162,4.2114,-1452
0.4562,6.0250,-1676
0.7962,6.7504,-1776
0.6862,1.6525,-1400
0.4562,-2.3390,1260
0.2262,-3.8718,1334
0.2262,-1.5487,1308
0.3462,0.9124,-779
0.5762,2.5554,-1400
0.6962,2.5874,-1400
0.9162,3.8435,-1400
1.0362,3.0693,-1400
1.2562,4.0362,-1421
1.2662,1.7097,-1400
1.2662,0.6839,-863
1.4862,3.0821,-1400
1.8162,5.4456,-1965
2.0362,4.9867,-1788
1.9362,1.0423,-1330
1.8262,-1.0179,-570
1.7062,-1.9391,551
1.7062,-0.7756,-536
1.7062,-0.3102,-777
2.0462,3.1140,-1400
2.2662,4.1152,-1449
2.4962,4.5822,-1619
2.5338,2.3129,-1400
2.5714,1.4052,-1400
2.7318,2.0897,-1400
2.8786,2.7507,-1400
3.0362,3.1122,-1400
3.0738,1.7249,-1400
3.1114,1.1699,-1400
3.3818,3.0432,-1400
3.6386,4.5669,-1603
3.9062,5.2429,-1872
3.9438,2.5772,-1400
3.9814,1.5109,-1400
4.0318,1.0843,-1421
4.0686,0.9137,-1437
4.1062,0.8455,-1453
4.0338,-0.5861,-1208
3.9514,-1.2863,-583
3.6718,-3.1774,0
3.4886,-3.6605,0
3.3062,-3.7927,0
3.3438,-1.0371,-926
3.3814,0.0652,-1400
3.3218,-0.5416,-1213
3.2386,-1.3018,-553
3.1662,-1.4450,-192
3.0938,-1.5023,0
3.1442,-0.1209,-1358
3.1818,0.4316,-1400
3.5486,4.9570,-1753
3.7797,4.9337,-1743
3.9997,4.7820,-1684
3.9997,1.9128,-1400
3.9997,0.7651,-1400
3.9997,0.3060,-1400
3.9997,0.1224,-1400
3.9897,-0.0787,-1374
3.9897,-0.0315,-1389
3.9897,-0.0126,-1396
3.9997,0.1254,-1400
3.9897,-0.0775,-1374
3.8797,-1.4353,-223
3.7597,-2.1060,0
3.5497,-2.8424,0
3.4397,-2.5717,0
3.4397,-1.0287,-933
3.3197,-1.9434,0
3.0997,-3.5859,0
2.7597,-4.6724,424
2.5197,-4.9994,581
2.3997,-3.5317,0
2.1797,-4.2212,191
1.9597,-4.4970,392
1.6297,-4.9417,652
1.3997,-4.9767,862
1.2797,-3.5226,943
1.2697,-1.5367,949
1.1597,-1.6623,1009
1.0497,-2.0692,1061
0.9497,-2.1320,1103
0.9497,-0.8528,12
0.9497,-0.3411,-320
0.9497,-0.1364,-509
0.9497,-0.0546,-597
0.9497,-0.0218,-635
0.9397,-0.1364,-503
0.8397,-1.3312,602
0.7297,-1.9367,1168
0.6297,-1.7271,1181
0.6297,-0.6908,87
0.7397,1.1279,-992
1.1797,6.0682,-1997
1.6197,8.0443,-2422
1.6197,3.2177,-1400
1.2797,-3.1477,943
1.2797,-1.2591,382
1.2797,-0.5036,-360
1.2797,-0.2015,-634
0.9497,-3.2234,1103
0.9497,-1.2894,484
0.9497,-0.5158,-188
0.9497,-0.2063,-440
0.9497,-0.0825,-566
0.9497,-0.0330,-622
0.7297,-2.8828,1183
0.8397,0.2511,-594
0.9497,1.5047,-1400
0.9497,0.6019,-661
0.9497,0.2408,-661
0.9397,-0.0341,-615
0.9397,-0.0137,-639
0.6197,-4.0906,1219
0.2997,-5.7213,1263
0.2897,-2.3838,1309
0.5097,1.9161,-1400
0.8397,4.9792,-1762
1.1597,6.0768,-1985
1.2697,3.4783,-1400
1.2697,1.3913,-1267
1.2697,0.5565,-866
1.2697,0.2226,-866
1.2697,0.0890,-866
1.2697,0.0356,-866
1.2797,0.1095,-872
1.2797,0.0438,-872
1.2897,0.1452,-879
1.2797,-0.0696,-784
1.1697,-1.4321,812
1.0497,-1.7157,1061
1.2797,2.3137,-1400
1.6197,5.2659,-1936
1.9597,6.4468,-2564
1.9597,2.5787,-1400
1.9597,1.0315,-1356
2.0697,1.8474,-1400
2.0797,0.8666,-1400
2.1897,1.7509,-1400
2.3097,2.2323,-1400
2.6397,4.0358,-1414
2.7597,3.1795,-1400
2.7597,1.2718,-1400
2.6397,-1.0232,-938
2.6397,-0.4093,-1256
2.6397,-0.1637,-1339
2.6397,-0.0655,-1375
2.9797,4.3142,-1513
3.3097,5.9385,-2227
3.6397,6.5881,-2672
3.6497,2.7305,-1400
3.6497,1.0922,-1400
3.6597,0.5645,-1400
3.6597,0.2258,-1400
3.6597,0.0903,-1400
3.4297,-2.1543,0
3.1997,-3.8617,0
2.8697,-5.7575,905
2.7597,-3.7072,0
2.6597,-2.7595,0
2.5397,-2.2467,0
2.4197,-2.4639,0
2.1897,-3.9217,0
1.9697,-4.3772,317
1.7497,-4.5594,490
1.6297,-2.9666,646
1.3997,-4.1866,862
1.2797,-3.2066,943
0.9497,-5.4954,1068
0.8397,-3.6024,1145
0.6197,-3.5362,1219
0.6197,-1.4145,879
0.6197,-0.5658,15
0.6197,-0.2263,-235
0.5097,-1.4948,1182
0.5097,-0.5979,101
0.5097,-0.2392,-157
0.2897,-2.9042,1316
0.2897,-1.1617,683
0.2897,-0.4647,161
0.3997,1.2184,-1085
0.1897,-2.2518,1338
-0.0303,-3.7092,1400
-0.0303,-1.4837,1381
0.2897,3.4916,-1400
0.6197,4.5395,-1595
0.9497,6.1202,-1898
0.9497,2.4481,-1400
0.9497,0.9792,-842
0.9497,0.3917,-661
0.9497,0.1567,-661
1.0497,1.3670,-1247
1.1597,1.9511,-1400
1.3897,3.7166,-1400
1.5197,3.1462,-1400
1.6397,2.4013,-1400
1.8597,3.8301,-1400
2.0797,4.3406,-1546
2.2997,4.5447,-1615
2.2997,1.8179,-1400
2.2997,0.7272,-1400
2.2997,0.2909,-1400
2.2997,0.1163,-1400
2.2997,0.0465,-1400
2.2997,0.0186,-1400
2.2997,0.0074,-1400
2.3097,0.1334,-1400
2.3097,0.0534,-1400
2.3097,0.0213,-1400
2.3097,0.0085,-1400
2.2997,-0.0918,-1363
2.2997,-0.0367,-1385
2.2997,-0.0147,-1394
2.2997,-0.0059,-1398
2.2997,-0.0024,-1399
2.2997,-0.0009,-1400
2.3097,0.1301,-1400
2.3097,0.0520,-1400
2.3197,0.1485,-1400
2.0897,-2.8768,0
1.8597,-3.3412,309
1.6297,-4.3365,646
1.6297,-1.7346,646
1.6673,-0.2138,-861
1.7049,0.3945,-1174
1.7553,0.6378,-1211
1.7921,0.7351,-1239
2.1697,5.1145,-1817
2.5473,6.8662,-2899
2.9149,7.4393,-3033
2.9553,3.3605,-1400
2.8821,0.3894,-1400
2.8097,-0.7685,-1109
2.7373,-1.2317,-680
2.7749,-0.0127,-1395
2.8253,0.4749,-1400
2.8621,0.6700,-1400
2.7897,-0.6563,-1164
2.6073,-2.5910,0
2.4377,-2.6516,0
2.3553,-2.1126,0
2.2721,-1.9302,0
2.1897,-1.8240,0
2.1073,-1.7815,0
2.1449,-0.2326,-1305
2.0853,-0.6607,-1153
1.9121,-2.5234,205
1.8397,-1.9336,345
1.7673,-1.6977,464
1.8049,-0.1991,-969
1.6453,-1.5996,627
1.5721,-1.5946,709
1.3897,-2.9664,870
1.3273,-1.9831,914
1.3777,-0.3133,-578
1.3909,0.0425,-949
1.3909,0.0170,-949
1.2809,-1.3975,663
1.2709,-0.6866,-226
1.2709,-0.2747,-554
1.2709,-0.1099,-730
1.1609,-1.4787,947
1.0509,-1.9957,1061
0.8309,-3.6068,1148
0.7309,-2.7193,1183
0.6209,-2.1353,1208
0.6209,-0.8541,193
0.4009,-3.1502,1284
0.1809,-4.0686,1347
0.0709,-3.0317,1379
0.1809,-0.1651,6
0.5109,4.2383,-1486
0.7409,4.6315,-1635
0.9609,4.6611,-1671
0.9609,1.8644,-1400
0.8509,-0.6585,-49
0.7309,-1.8286,1160
0.9409,1.9494,-1400
1.2709,4.9925,-1871
1.5909,6.0821,-2294
1.5909,2.4328,-1400
1.2709,-3.2008,949
0.9509,-5.3654,1083
0.6209,-6.3589,1178
0.6209,-2.5436,1218
0.6209,-1.0174,296
0.6209,-0.4070,-92
0.7309,1.2415,-1110
0.8309,1.7732,-1400
0.9409,2.1135,-1400
0.9409,0.8454,-719
0.9409,0.3382,-655
0.9409,0.1353,-655
0.9409,0.0541,-655
0.9409,0.0216,-655
0.9409,0.0087,-655
0.9409,0.0035,-655
0.9409,0.0014,-655
0.9409,0.0006,-655
0.9409,0.0002,-655
0.9409,0.0001,-655
0.9409,0.0000,-655
0.9409,0.0000,-655
0.7309,-2.6808,1183
0.5209,-3.7532,1249
0.3109,-3.5013,1310
0.3109,-1.4005,915
0.4109,0.7164,-611
0.5109,1.5632,-1400
0.6209,2.0295,-1400
0.7309,1.8594,-1400
0.8309,2.0481,-1400
0.9409,2.2235,-1400
0.6209,-3.1957,1218
0.6209,-1.2783,503
0.5109,-1.9156,1229
0.7309,2.1033,-1400
0.6309,-0.4353,-77
0.6309,-0.1741,-288
0.6309,-0.0696,-392
0.5109,-1.5598,1206
0.4009,-2.0587,1268
0.2909,-2.2277,1306
0.2909,-0.8911,463
0.4009,0.6912,-591
0.6209,3.0850,-1400
0.8309,3.9731,-1400
1.1609,5.8020,-2030
1.3809,5.1293,-1937
1.5909,4.7326,-1747
1.5909,1.8930,-1400
1.5909,0.7572,-1090
1.6009,0.4305,-1097
1.7109,1.5765,-1400
1.7109,0.6306,-1178
1.7109,0.2522,-1178
1.6109,-1.2035,-7
1.4909,-2.0133,787
1.3809,-2.2096,876
1.3809,-0.8838,-158
1.5909,1.6465,-1400
1.8109,3.5282,-1400
1.9309,2.9432,-1400
1.9309,1.1773,-1330
1.8209,-0.9333,-641
1.7009,-1.5162,558
1.5909,-2.0413,689
1.5909,-0.8165,-350
1.7009,1.0777,-1116
1.9209,3.2396,-1400
2.0309,2.3434,-1400
2.0409,1.0678,-1400
1.9409,-0.8495,-933
1.9409,-0.3398,-1109
1.9309,-0.2636,-1110
1.8209,-1.1530,-394
1.8109,-0.5917,-758
1.8109,-0.2367,-927
1.8209,0.0330,-1261
1.7109,-1.3911,234
1.6109,-1.5088,667
1.6109,-0.6035,-454
1.6109,-0.2414,-793
1.6109,-0.0966,-970
1.6109,-0.0386,-1049
1.6109,-0.0155,-1082
1.6109,-0.0062,-1096
1.6109,-0.0025,-1101
1.1709,-5.6180,992
0.7309,-7.8642,1400
0.2909,-7.3362,1400
0.6209,1.3699,-1250
0.9409,4.6331,-1657
1.2709,6.0660,-2067
1.2709,2.4264,-1400
1.1609,-0.0771,-699
1.0509,-1.4656,934
1.1609,0.8180,-793
1.3809,3.1357,-1400
1.5909,3.2543,-1400
1.5909,1.3017,-1175
1.5909,0.5207,-1090
1.3809,-2.4726,876
1.1609,-3.7975,1009
0.9409,-4.3275,1107
1.0509,-0.6834,-128
1.0509,-0.2734,-433
0.9509,-1.3859,727
0.7409,-3.2352,1179
0.6309,-2.6983,1215
0.6309,-1.0793,331
0.7409,1.0030,-866
0.8409,1.6778,-1400
0.9409,1.9477,-1400
0.9409,0.7791,-682
0.9409,0.3116,-655
0.9409,0.1247,-655
0.8309,-1.3544,664
0.7309,-1.8184,1159
0.6209,-2.1316,1208
0.6209,-0.8526,192
0.7309,1.0937,-957
0.8309,1.7141,-1400
0.9409,2.0899,-1400
0.9409,0.8360,-711
0.9409,0.3344,-655
0.8409,-1.1706,256
0.7409,-1.7448,1150
0.7409,-0.6979,29
0.8509,1.1251,-989
0.9509,1.4024,-1287
0.9609,0.6914,-668
0.9609,0.2766,-668
0.9609,0.1106,-668
0.9509,-0.0510,-602
0.9509,-0.0204,-637
0.9409,-0.1386,-502
0.9409,-0.0554,-591
1.0609,1.5097,-1400
1.1709,1.6515,-1400
1.2909,2.1925,-1400
1.1809,-0.5578,-271
0.9509,-3.1593,1103
0.6933,-4.5522,1195
0.5457,-3.7051,1241
0.6153,-0.8192,175
0.5785,-0.8077,191
0.8609,3.2820,-1400
1.0333,3.5137,-1400
1.3029,3.9731,-1400
0.9453,-2.9759,1105
0.9085,-1.6703,1098
0.6509,-3.9567,1209
0.7233,-0.6584,15
0.6857,-0.7434,87
0.8553,1.3179,-1193
1.0285,2.7863,-1400
0.9909,0.6345,-686
0.9533,-0.2262,-423
0.8029,-1.5229,1111
0.6553,-2.4934,1207
0.5085,-2.9121,1253
0.3709,-2.9215,1293
0.2233,-3.0528,1335
0.0629,-2.7488,1381
0.0253,-1.5795,1389
-0.0115,-1.1118,975
-0.1591,-2.3290,1400
-0.3067,-2.8158,1400
-0.2571,-0.6540,561
-0.1847,0.6627,-389
-0.0015,2.6546,-1400
-0.0391,0.5819,-465
-0.0767,-0.2473,239
-0.2243,-1.9832,1400
-0.2747,-1.2733,1144
-0.0915,1.8803,-1366
0.0909,3.0806,-1400
0.1633,2.1565,-1400
0.2229,1.4302,-1319
0.2953,1.4963,-1396
0.4685,2.8577,-1400
0.5409,2.0673,-1400
0.6133,1.7512,-1400
0.5757,0.2205,-434
0.5253,-0.3918,-47
0.4985,-0.5063,48
0.5609,0.5941,-515
0.7433,2.5661,-1400
0.8157,1.9507,-1400
0.7901,0.5365,-565
0.6701,-1.3506,683
0.6701,-0.5403,-29
0.6601,-0.3438,-161
0.6601,-0.1375,-341
0.6601,-0.0550,-425
0.6601,-0.0220,-461
0.6601,-0.0088,-476
0.6601,-0.0035,-482
0.6601,-0.0014,-484
0.6601,-0.0006,-485
0.6601,-0.0002,-485
0.6601,-0.0001,-486
1.0101,4.4680,-1603
1.3601,6.2553,-2145
1.5901,4.6926,-1731
1.4801,0.4423,-1011
1.3701,-1.2274,260
1.2501,-2.0229,961
1.1401,-1.8568,1019
1.0201,-2.2746,1074
1.0201,-0.9098,9
1.0201,-0.3639,-338
1.0201,-0.1456,-540
1.0201,-0.0582,-635
1.2501,2.9129,-1400
1.4701,4.0347,-1420
1.6901,4.4224,-1604
1.6901,1.7690,-1400
1.6901,0.7076,-1163
1.6901,0.2830,-1163
1.6901,0.1132,-1163
1.6901,0.0453,-1163
1.6901,0.0181,-1163
1.6901,0.0072,-1163
1.5801,-1.4014,413
1.4701,-1.9953,805
1.7001,2.1380,-1400
2.0301,5.0680,-1815
2.3701,5.2653,-1882
2.4901,3.6380,-1400
2.6101,3.0204,-1400
2.8301,4.0167,-1406
2.9401,3.0109,-1400
3.0501,2.2520,-1400
3.0501,0.9008,-1400
3.0601,0.4908,-1400
3.0601,0.1963,-1400
3.0601,0.0785,-1400
3.0601,0.0314,-1400
3.2701,2.0126,-1400
3.5001,3.8050,-1400
3.7101,4.2029,-1472
3.7101,1.6811,-1400
3.7101,0.6725,-1400
3.6101,-0.6834,-1152
3.5001,-1.7081,0
3.3901,-2.0875,0
3.3901,-0.8350,-1072
3.3901,-0.3340,-1289
3.3901,-0.1336,-1355
3.3901,-0.0534,-1382
3.3901,-0.0214,-1393
3.3901,-0.0086,-1397
3.5001,1.0442,-1400
3.5001,0.4177,-1400
3.4901,0.0366,-1400
3.2701,-2.7939,0
3.1501,-2.6495,0
3.0501,-2.0122,0
2.8201,-3.7410,0
2.6001,-4.3660,269
2.1501,-7.4911,1400
1.9201,-5.9326,975
1.5801,-6.7135,1259
1.3501,-4.8759,898
1.0101,-6.3851,1155
0.5601,-8.2987,1400
0.2301,-7.5323,1400
0.0101,-5.8214,1395
0.0201,-2.2333,1393
0.0201,-0.8933,738
0.0301,-0.2297,194
0.0301,-0.0919,67
0.0301,-0.0367,11
-0.0899,-1.5466,1400
-0.1999,-2.0534,1400
-0.0999,0.4552,-311
0.1201,2.9906,-1400
0.3401,4.0048,-1402
0.5601,3.6971,-1400
0.7901,4.4789,-1585
1.1401,6.2596,-1968
1.3701,5.4400,-2044
1.5901,4.9845,-1844
1.8001,3.9938,-1400
1.9101,3.0323,-1400
2.0301,2.7448,-1400
2.0301,1.0979,-1400
2.0301,0.4392,-1400
2.0301,0.1757,-1400
2.0301,0.0703,-1400
2.2601,2.9643,-1400
2.4901,4.1219,-1449
2.7101,3.7440,-1400
2.7201,1.6253,-1400
2.7101,0.5197,-1400
2.7101,0.2079,-1400
2.7101,0.0831,-1400
2.5901,-1.1096,-849
2.4701,-1.9758,0
2.8101,3.6445,-1400
2.8101,1.4578,-1400
3.1501,4.9235,-1739
3.0501,0.6928,-1400
3.3901,3.5152,-1400
3.3901,1.4061,-1400
3.3901,0.5624,-1400
3.3901,0.2250,-1400
3.3901,0.0900,-1400
3.3901,0.0360,-1400
3.3901,0.0144,-1400
3.3901,0.0058,-1400
3.2701,-1.5296,0
3.1601,-2.0161,0
3.0501,-1.8541,0
3.0501,-0.7416,-1123
3.2701,2.5119,-1400
3.4901,3.8133,-1400
3.7101,4.3338,-1519
3.7101,1.7335,-1400
3.7101,0.6934,-1400
3.8301,1.8093,-1400
3.9401,2.1280,-1400
4.0601,2.3831,-1423
4.0601,0.9532,-1435
4.0601,0.3813,-1422
4.0601,0.1525,-1421
4.0601,0.0610,-1421
4.0601,0.0244,-1421
4.0601,0.0098,-1421
4.0601,0.0039,-1421
4.0601,0.0016,-1421
4.0601,0.0006,-1421
4.0601,0.0002,-1421
4.0601,0.0001,-1421
4.0601,0.0000,-1421
4.0601,0.0000,-1421
3.9401,-1.5319,0
3.8301,-2.0170,0
3.7101,-1.9497,0
3.7101,-0.7799,-1103
3.6101,-1.5885,0
3.3425,-4.0516,40
3.0849,-4.9091,540
2.8045,-4.6341,404
2.5477,-5.2032,671
2.3901,-4.0932,82
2.2623,-3.2688,0
2.2623,-1.3075,-541
2.0323,-2.7135,0
1.9223,-2.5202,184
1.7023,-3.8166,556
1.5823,-3.0585,698
1.2423,-4.4615,965
1.0223,-4.5931,1073
0.8023,-4.7068,1158
0.8023,-1.8827,1144
0.8023,-0.7531,29
0.7923,-0.3965,-193
0.6723,-1.6905,1166
0.4423,-3.6762,1272
0.2123,-4.4067,1335
0.1123,-3.0393,1367
0.1123,-1.2157,933
0.1123,-0.4863,323
0.1123,-0.1945,89
0.2223,1.3265,-1202
0.4523,3.4668,-1400
0.7823,5.5995,-1840
1.0223,4.5255,-1628
1.1323,3.2450,-1400
1.1423,1.4257,-1314
1.1423,0.5703,-781
1.1423,0.2281,-781
1.1423,0.0912,-781
1.1323,-0.0939,-662
1.1223,-0.1652,-579
1.1223,-0.0661,-688
1.1223,-0.0264,-735
1.1123,-0.1058,-637
1.0023,-1.4771,980
0.9023,-1.8674,1117
0.7923,-2.1512,1162
1.1323,3.4799,-1400
1.4723,4.6301,-1720
1.8023,6.1564,-2363
1.8023,2.4626,-1400
1.8023,0.9850,-1215
1.8023,0.3940,-1247
1.8023,0.1576,-1247
1.8023,0.0630,-1247
1.8023,0.0252,-1247
1.5823,-2.7984,698
1.3523,-3.3098,897
1.1423,-4.0048,1018
1.1423,-1.6019,1018
1.1423,-0.6408,-197
1.0223,-1.7882,1073
0.7923,-2.9058,1162
0.4523,-5.5027,1221
0.2223,-5.2011,1318
0.1123,-3.4847,1367
0.1123,-1.3939,1114
0.1123,-0.5576,377
0.1123,-0.2230,114
0.1123,-0.0892,-9
0.4423,4.1771,-1464
0.7823,6.0113,-1839
1.1223,6.7449,-1956
1.0123,1.6504,-1400
0.9023,-0.7746,-8
0.7923,-1.7141,1133
0.7923,-0.6856,-4
0.7923,-0.2743,-291
0.7923,-0.1097,-446
0.7923,-0.0439,-516
0.7923,-0.0176,-546
0.7923,-0.0070,-558
0.7923,-0.0028,-563
0.5723,-2.0964,1219
0.3523,-3.7081,1298
0.1223,-4.4194,1362
0.1223,-1.7678,1353
0.3523,2.2291,-1400
0.6823,4.0345,-1414
1.0223,6.0486,-1937
1.3623,6.7599,-2147
1.5823,5.5125,-2019
2.0323,7.9497,-2996
2.2523,5.2751,-1887
2.7023,7.9796,-3032
2.9223,6.0004,-2264
3.0423,3.9321,-1400
2.9423,0.6204,-1400
2.8323,-1.1561,-791
2.8323,-0.4624,-1243
2.8323,-0.1850,-1334
2.8323,-0.0740,-1373
2.9423,1.3747,-1400
2.9423,0.5499,-1400
2.9323,0.0895,-1400
2.8223,-1.3685,-406
2.7123,-1.9516,0
2.4823,-2.9711,0
2.2623,-3.9970,0
2.1523,-3.0336,0
2.1423,-1.3411,-470
2.0323,-1.9407,0
1.9123,-2.3082,205
1.8023,-1.9709,409
1.8023,-0.7884,-702
1.8023,-0.3153,-831
1.5823,-2.9346,698
1.2423,-4.4120,965
0.9123,-5.9775,1062
0.7923,-3.9562,1162
0.6823,-2.9867,1199
0.5623,-2.7266,1236
0.4423,-2.2335,1261
0.4423,-0.8934,342
0.3323,-1.7921,1279
0.1123,-3.5254,1367
-0.1077,-4.2187,1448
-0.2177,-3.0917,1400
-0.2177,-1.2367,1105
-0.1077,0.9401,-681
0.0023,1.7803,-1400
0.1223,2.2440,-1400
0.2323,1.9452,-1400
0.3323,2.0547,-1400
0.5623,3.8219,-1400
0.6823,3.0607,-1400
0.9023,4.0328,-1414
1.0123,3.0174,-1400
1.1223,2.2546,-1400
1.0123,-0.5330,-207
0.9023,-1.6174,1094
0.7923,-2.0512,1158
0.7923,-0.8205,73
0.7923,-0.3282,-246
0.7923,-0.1313,-424
0.7923,-0.0525,-506
