error,delta_error,delta_pwm
-3.4933,0.0007,1400
-3.5033,-0.1274,1400
-3.5033,-0.0509,1400
-3.5033,-0.0204,1400
-3.5033,-0.0082,1400
-3.5033,-0.0033,1400
-3.7133,-2.6822,1400
-3.9333,-3.8814,1400
-4.1433,-3.5848,1449
-4.1433,-1.4339,1474
-4.1433,-0.5736,1457
-4.0333,1.1748,789
-3.9233,1.8742,0
-3.8133,1.8142,0
-3.8133,0.7257,1131
-3.8133,0.2903,1303
-3.8133,0.1161,1361
-3.8233,-0.0812,1400
-3.8233,-0.0325,1400
-3.8333,-0.1407,1400
-3.8333,-0.0563,1400
-3.8333,-0.0225,1400
-3.9433,-1.4133,1400
-4.1533,-2.5976,1456
-4.4633,-4.9965,1769
-4.9633,-8.3816,3041
-5.4433,-9.4803,3026
-5.8333,-8.7708,3005
-6.0333,-5.4438,2116
-6.0333,-2.1775,2086
-6.3333,-4.7008,2201
-6.4233,-3.0293,2237
-6.6333,-3.8926,2326
-6.5433,-0.6861,2287
-6.5433,-0.2744,2287
-6.5333,0.0179,2276
-6.3333,2.5603,928
-6.1333,3.5773,874
-5.9433,3.2696,823
-5.9433,1.3079,1200
-5.7333,3.2040,765
-5.5333,3.8348,706
-5.2433,5.2360,3
-5.1533,2.9654,584
-5.0633,2.3351,569
-5.0633,0.9340,1487
-5.0533,0.5013,1590
-5.0533,0.2005,1679
-4.7433,3.0802,427
-4.4433,5.0619,-296
-4.1433,5.8545,-821
-4.1433,2.3418,116
-4.1533,0.8091,1157
-4.1633,0.2269,1382
-4.2533,-1.0582,1561
-4.3533,-1.6999,1558
-4.3433,-0.5523,1532
-4.2433,1.0557,1050
-4.1433,1.3900,495
-4.1433,0.5560,1262
-4.1433,0.2224,1376
-4.2433,-1.1876,1542
-4.3433,-1.7516,1551
-4.4533,-1.7652,1595
-4.3433,0.6982,1286
-4.2433,1.5559,234
-4.0333,3.3032,26
-3.9233,2.7255,0
-3.8133,2.1547,0
-3.7033,2.2661,0
-3.5933,2.3107,0
-3.3733,3.7328,0
-3.2633,2.8974,0
-3.1433,2.3202,0
-3.1433,0.9281,1013
-3.1533,0.2436,1318
-3.1533,0.0974,1366
-3.1633,-0.0887,1400
-3.1633,-0.0355,1400
-3.3833,-2.8227,1400
-3.5933,-3.8099,1400
-3.8133,-4.3325,1518
-3.8133,-1.7330,1400
-3.8133,-0.6932,1400
-3.8233,-0.4049,1400
-3.8233,-0.1620,1400
-3.8333,-0.1924,1400
-3.8333,-0.0770,1400
-3.8233,0.0660,1378
-3.8233,0.0264,1391
-3.7033,1.5425,0
-3.7033,0.6170,1181
-3.7033,0.2468,1318
-3.4933,2.1310,0
-3.1733,4.9375,-553
-3.0633,3.3793,0
-3.2733,-1.3291,1400
-3.4933,-3.3402,1400
-3.4933,-1.3361,1400
-3.4933,-0.5344,1400
-3.4933,-0.2138,1400
-3.4933,-0.0855,1400
-3.2733,2.7743,0
-3.0533,3.2388,0
-2.8433,3.9764,0
-2.8533,1.4629,134
-2.9533,-0.6914,1400
-3.0633,-1.6808,1400
-3.1633,-1.6401,1400
-3.1633,-0.6560,1400
-3.1633,-0.2624,1400
-3.1633,-0.1050,1400
-3.1633,-0.0420,1400
-3.1633,-0.0168,1400
-3.2733,-1.4110,1400
-3.3833,-1.9686,1400
-3.4933,-2.1917,1400
-3.2733,1.9318,0
-3.0633,2.8050,0
-2.8533,3.8028,0
-2.9633,0.1169,1359
-3.0733,-1.3575,1400
-3.1833,-1.9473,1400
-2.9533,1.4469,186
-2.7333,3.3873,0
-2.5133,4.1634,-135
-2.5133,1.6654,0
-2.5133,0.6661,1160
-2.4033,1.3310,492
-2.2933,1.9366,0
-2.1833,2.1789,0
-2.1833,0.8716,1050
-2.1833,0.3486,1263
-2.1833,0.1395,1342
-2.1833,0.0558,1377
-2.1833,0.0223,1391
-2.1833,0.0089,1396
-2.1833,0.0036,1398
-2.1833,0.0014,1399
-2.0733,1.4048,311
-1.9733,1.8385,-67
-1.8633,2.1397,-302
-1.8633,0.8559,777
-1.7533,1.4069,-214
-1.6533,1.8393,-618
-1.5433,2.1400,-738
-1.5533,0.7283,334
-1.5433,0.4190,573
-1.5433,0.1676,836
-1.5433,0.0670,963
-1.5533,-0.1008,1063
-1.5533,-0.0403,1063
-1.5533,-0.0161,1063
-1.4433,1.0581,29
-1.3333,1.8275,-910
-1.2609,1.6552,-954
-1.2985,0.1821,666
-1.4461,-1.8114,1400
-1.6057,-2.2691,1400
-1.7533,-2.7919,1400
-1.7909,-1.5968,1400
-2.0385,-3.7996,1400
-2.2961,-4.8083,1707
-2.5557,-4.4356,1565
-2.6033,-2.3819,1400
-2.6409,-1.4328,1400
-2.6785,-1.0531,1400
-2.9261,-3.5821,1400
-3.1857,-3.9451,1400
-3.4333,-4.7389,1668
-3.5809,-3.7798,1400
-3.7385,-3.5238,1400
-3.9861,-4.5704,1605
-4.3657,-5.5017,1992
-4.7233,-6.7658,2814
-4.9809,-5.9948,2261
-5.0185,-2.8779,1737
-5.0561,-1.6312,1830
-5.1057,-1.1325,1949
-5.1433,-0.9330,1915
-5.1809,-0.8532,1891
-5.0085,1.8596,602
-4.8261,3.0723,461
-4.5457,3.9425,336
-4.2633,5.1821,-461
-3.9809,5.6779,-872
-3.8085,4.4720,-316
-3.8461,1.3088,539
-3.8957,0.0435,1385
-3.9333,-0.4626,1400
-4.1909,-3.4735,1465
-4.4485,-4.6779,1645
-4.7961,-6.3086,2465
-4.9457,-3.9712,1713
-4.9833,-2.0685,1759
-4.9209,-0.0308,1705
-4.7485,2.1885,467
-4.6761,1.7997,476
-4.6157,1.3044,1022
-4.6533,0.0418,1604
-4.7909,-1.7399,1725
-4.9385,-2.5802,1714
-4.8661,-0.1078,1687
-4.6957,1.6059,513
-4.4133,4.2475,99
-4.2309,4.0275,143
-4.0585,3.8118,45
-3.9861,2.4490,0
-3.8157,2.6286,0
-3.6333,3.3800,0
-3.4609,3.5528,0
-3.4185,1.9624,0
-3.3461,1.7092,0
-3.2757,1.3650,414
-3.2933,0.3213,1293
-3.3209,-0.2238,1400
-3.2585,0.7071,1140
-3.1861,1.2071,718
-3.2357,0.0028,1399
-3.2733,-0.4789,1400
-3.2009,0.7327,1128
-2.9185,3.8982,0
-2.7361,3.8878,0
-2.6857,2.0429,0
-2.7233,0.3371,1281
-2.7481,-0.1818,1400
-2.7481,-0.0727,1400
-2.7481,-0.0291,1400
-2.5281,2.1174,0
-2.3081,3.6555,0
-1.8681,7.0792,-1400
-1.6581,5.5125,-810
-1.4481,4.8859,-823
-1.5481,0.9866,214
-1.6481,-0.8820,1132
-1.7481,-1.6294,1400
-1.7481,-0.6518,1206
-1.7481,-0.2607,1206
-1.4281,2.9925,-840
-1.4281,1.1970,-167
-1.1081,4.5639,-1034
-1.1081,1.8256,-1034
-1.1181,0.6026,210
-1.4481,-2.9525,1400
-1.5481,-2.4576,1400
-1.5481,-0.9830,1034
-1.5481,-0.3932,1059
-1.5481,-0.1573,1059
-1.5481,-0.0629,1059
-1.5481,-0.0252,1059
-1.7681,-2.8186,1400
-1.6581,0.2768,783
-1.5481,1.5150,-733
-1.4381,1.6705,-832
-1.4381,0.6682,319
-1.4381,0.2673,659
-1.4381,0.1069,841
-1.4381,0.0428,924
-1.4381,0.0171,958
-1.4381,0.0068,972
-1.2181,2.8112,-978
-1.0081,3.8054,-1079
-0.7881,4.3307,-1163
-0.7881,1.7323,-1136
-0.7881,0.6929,-2
-0.7781,0.4048,179
-0.7781,0.1619,386
-0.7781,0.0648,485
-0.7881,-0.0709,563
-0.7881,-0.0283,563
-0.7881,-0.0113,563
-0.7881,-0.0045,563
-0.7881,-0.0018,563
-0.3381,4.3541,-1299
-0.3381,1.7416,-1275
-0.3381,0.6967,-287
-0.7881,-5.4660,1821
-0.7881,-2.1864,1400
-0.7881,-0.8746,745
-0.7881,-0.3498,563
-0.7881,-0.1399,563
-0.7881,-0.0560,563
-1.0081,-2.8309,1400
-1.1181,-2.1969,1400
-1.2281,-2.2830,1400
-1.2281,-0.9132,837
-1.2281,-0.3653,837
-1.2281,-0.1461,837
-0.8981,3.1351,-1123
-0.6881,3.9349,-1197
-0.4681,4.3825,-1264
-0.4681,1.7530,-1233
-0.5681,-0.5754,500
-0.6681,-1.5068,1400
-0.7781,-1.6672,1400
-0.7781,-0.6669,579
-0.7781,-0.2668,557
-0.6781,1.1699,-362
-0.6681,0.5647,12
-0.6681,0.2259,263
-0.6681,0.0904,393
-0.5681,1.3127,-599
-0.7881,-2.2834,1400
-1.0181,-3.1392,1400
-1.2381,-4.0642,1436
-1.2381,-1.6257,1400
-1.2381,-0.6503,844
-1.0181,2.5484,-1075
-0.6881,4.2129,-1197
-0.5781,3.0894,-1232
-0.6881,-0.1685,503
-0.7881,-1.3440,1221
-0.7881,-0.5376,563
-0.6881,0.7527,-91
-0.5781,1.7053,-1195
-0.4681,2.0864,-1249
-0.4681,0.8346,-283
-0.4681,0.3338,55
-0.4681,0.1335,226
-0.4681,0.0534,307
-0.5681,-1.2552,1124
-0.5681,-0.5021,443
-0.3381,2.7353,-1301
-0.2281,2.1586,-1324
-0.3381,-0.5408,473
-0.5781,-3.2801,1400
-0.5781,-1.3121,1186
-0.5781,-0.5248,461
-0.6881,-1.2744,1145
-0.6881,-0.5098,503
-0.6881,-0.2039,503
-0.6881,-0.0816,503
-0.8081,-1.5645,1400
-0.8081,-0.6258,580
-0.9081,-1.5269,1400
-1.0081,-1.8874,1400
-1.3281,-4.8401,1832
-1.5481,-4.7445,1758
-1.7681,-4.0268,1414
-1.7681,-1.6107,1400
-1.7681,-0.6443,1221
-1.8681,-1.5343,1400
-1.8681,-0.6137,1297
-1.9781,-1.3100,1379
-1.9781,-0.5240,1383
-1.8681,1.1947,423
-1.6481,3.2864,-624
-1.4281,4.1231,-840
-1.4281,1.6492,-840
-1.2181,3.3405,-978
-1.0081,4.0171,-1079
-0.7881,4.4153,-1163
-0.7881,1.7661,-1139
-0.7781,0.8032,-71
-0.7781,0.3213,244
-0.7405,0.6085,24
-0.7029,0.7234,-65
-0.3353,4.9821,-1287
0.0543,5.7632,-1440
0.4219,6.9980,-1604
0.4595,3.2792,-1400
0.2771,-1.0168,574
-0.0253,-4.2672,1412
